# created: Sat Jun 30 03:00:01 2018
# <aid>|<type>|<language>|<title>
# type: 1=primary title (one per anime), 2=synonyms (multiple per anime), 3=shorttitles (multiple per anime), 4=official title (one per language)
6239|2|tr|07-Hayalet
6239|2|fa|07-روح
2195|2|ja|0テスター
2196|2|ja|0テスター 地球を守れ!
5121|4|ja|0戦はやと
3978|1|x-jat|1+2=Paradise
3978|4|ja|1+2=パラダイス
2170|2|en|10 Chikan Association
13988|2|en|10 Count
2854|4|en|10 Tokyo Warriors
2867|4|en|10 Tokyo Warriors (2001)
2854|2|en|10 Warriors of Tokyo
10174|1|x-jat|100 Banme no Saru
8766|1|x-jat|100 Byou Cinema: Robo to Shoujo (Kari)
1001|2|lt|100 Istorijų
1001|2|en|100 Stories
5308|3|x-jat|100%
3067|4|it|100% Fragola
3067|2|pt|100% Morango
13560|1|x-jat|100% Pascal-sensei
12410|1|x-jat|100% Pascal-sensei (2017)
12410|4|en|100% Teacher Pascal
3067|2|ru|100% Клубничка
3067|2|ar|100% فراولة
5308|4|ja|100%[A Hundred Percents]
13560|4|ja|100%パスカル先生
12410|4|ja|100%パスカル先生 (2017)
764|1|x-jat|1000-nen Joou
5996|2|en|1000% for That Girl
13149|4|en|10000 Years Later
764|4|ja|1000年女王 Queen Millennia
5499|4|ja|1001 Nights
5499|1|x-jat|1001 Nights
5499|2|ja|1001 Nights~ワン・サウザンド・ワン・ナイツ~
10174|4|ja|100ばんめのサル
2991|4|ja|100万年地球の旅バンダーブック
8766|4|ja|100秒シネマ ロボと少女(仮)
6751|2|lt|11 akių
6985|4|it|11 campioni
6751|4|en|11 Eyes
6751|1|x-jat|11 Eyes
4945|4|de|11 hungrige Katzen und ein Albatros
4944|4|fi|11 nälkäistä kissaa
1869|2|x-jat|11 Nin Iru!
4944|1|x-jat|11 Piki no Neko
4945|1|x-jat|11 Piki no Neko to Ahoudori
6751|2|ru|11 глаз
6751|2|fa|11 چشم
6751|4|ja|11eyes
6751|2|zh-Hant|11eyes -罪與罰與贖的少女-
6751|2|x-jat|11eyes: Tsumi to Batsu to Aganai no Shoujo
1869|4|ko|11인이 있다
4944|4|ja|11ぴきのねこ
4945|4|ja|11ぴきのねことあほうどり
1869|4|ja|11人いる!
10584|4|fr|12 Ans.
3398|2|vi|12 Con Giáp
5726|2|en|12 Female Teachers
2234|4|hu|12 hónap
26|2|ro|12 Împărăţii
26|2|lt|12 Karalysčių
26|2|en|12 Kingdoms
26|4|de|12 Kingdoms - Juuni Kokki
26|2|x-jat|12 Kokuki
26|2|tr|12 Krallık
26|2|pl|12 królestw
2234|4|pl|12 Miesięcy
2367|4|sv|12 skeppsbrutna pojkar på äventyrens ö
26|2|th|12 อาณาจักรเทพยุทธ์
11302|2|x-jat|12-gatsu no Uta
10584|1|x-jat|12-Sai.
11899|1|x-jat|12-Sai. Chicchana Mune no Tokimeki
12198|1|x-jat|12-Sai. Chicchana Mune no Tokimeki (2016)
12198|4|en|12-Sai. Chicchana Mune no Tokimeki 2nd Season
26|3|en|12K
3398|3|x-jat|12sber
5726|2|ko|12인의 여교사
10584|2|ja|12さい.
11302|4|ja|12月のうた
10584|4|ja|12歳.
11899|4|ja|12歳. ~ちっちゃなムネのトキメキ~
12198|4|ja|12歳. ~ちっちゃなムネのトキメキ~ (2016)
656|4|fr|13 vies - Une vision du Japon
2645|2|zh-Hans|14番的目的
6675|1|x-jat|15 Bishoujo Hyouryuuki
9629|2|en|15 Children Space Adventure
9629|1|x-kot|15 Sonyeon Uju Pyoryugi
6675|2|ko|15 미소녀 표류기
14129|1|x-jat|15-sai, Kyou kara Dousei Hajimemasu.
9629|4|ko|15소년 우주 표류기
14129|4|ja|15歳, 今日から同棲はじめます.
6675|4|ja|15美少女漂流記
12576|4|en|18 If
12576|1|x-jat|18 If
12576|4|ja|18if
11393|4|ja|1989
11393|1|x-jat|1989
3370|2|en|19th-Century Boy Takamaru
69|3|x-jat|1P
11123|3|x-jat|1PM
4401|3|en|1st squad
2900|4|ja|1ポンドの福音
2769|4|ja|1月にはChristmas
2367|2|fr|2 ans de vacances
1769|2|en|2 X 2 = The Legend of Shinobu
772|4|he|2 סטריט פייטר
10810|2|ja|2#15
1423|4|ja|2×1
2213|4|pt|20 Mil Léguas Sob o Mar
11394|1|x-jat|20-dai no Heya-hen
2213|2|it|20.000 leghe sotto i mari
2213|4|es|20.000 Leguas de Viaje Submarino
12813|1|x-jat|2002-nen Harmoni Ondo
12813|4|ja|2002年ばあちゃん[ハルモニ]音頭
11398|2|en|2005 Space Odyssey
11398|1|x-jat|2005-nen Uchuu no Tabi
11398|4|ja|2005年宇宙の旅
12218|4|ja|2010
12218|1|x-jat|2010
9707|1|x-kot|2020 Nyeon Ujuui Wonder Kiddy
9707|4|ko|2020년 우주의 원더키디
5671|3|en|20faces
4922|1|x-jat|21 Emon
4943|1|x-jat|21 Emon: Sora Ike! Hadashi no Princess
4943|2|en|21 Emon: To Space! The Barefoot Princess
5323|1|x-jat|21 Emon: Uchuu e Irasshai!
5323|2|en|21 Emon: Welcome to the Space!!
4965|1|x-jat|21 Seiki Manga Hajimete Monogatari
4922|2|ja|21 エモン
299|1|x-jat|21-ji no Onna: Newscaster Katsuragi Miki
2691|1|x-jat|2112 Nen Doraemon Tanjou
2691|4|ja|2112年 ドラえもん誕生
4922|4|ja|21エモン
4943|4|ja|21エモン 宇宙[そら]いけ! 裸足のプリンセス
4943|2|ja|21エモン 宇宙いけ! 裸足のプリンセス
5323|4|ja|21エモン 宇宙へいらっしゃい!
4965|4|ja|21世紀まんがはじめて物語
299|4|ja|21時の女~ニュースキャスター桂木美紀~
13299|1|x-jat|22/7
13299|4|ja|22/7
2003|4|en|23 year old Female Teacher
13597|1|x-jat|25-sai no Joshikousei
13597|4|ko|25세의 여고생
