# created: Sat Jun 30 03:00:01 2018
# <aid>|<type>|<language>|<title>
# type: 1=primary title (one per anime), 2=synonyms (multiple per anime), 3=shorttitles (multiple per anime), 4=official title (one per language)
6636|4|en|Eden of the East: The King of Eden
801|4|en|Eden`s Bowy
801|1|x-jat|Edens Bowy
6238|2|ro|Edenul din Est
704|4|fr|Edgar de la cambriole - Adieu, Nostradamus !
986|4|fr|Edgar de la cambriole - Destination danger
821|4|fr|Edgar de la cambriole - Épisode : 0 - First Contact
1024|4|fr|Edgar de la cambriole - Goodbye Lady Liberty
989|4|fr|Edgar de la cambriole - L`or de Babylone
320|4|fr|Edgar de la cambriole - Le château de Cagliostro
977|4|fr|Edgar de la cambriole - Le complot du clan Fûma
2137|4|fr|Edgar de la cambriole - Le dictionnaire de Napoléon
815|4|fr|Edgar de la cambriole - Le dragon maudit
823|4|fr|Edgar de la cambriole - Le secret de Mamo
810|4|fr|Edgar de la cambriole - Le secret du Twilight Gemini
705|4|fr|Edgar de la cambriole - Le trésor d`Harimao
703|4|fr|Edgar de la cambriole - Mort ou vif
2138|4|fr|Edgar de la cambriole - Opération diamant
421|4|fr|Edgar de la cambriole - Saison 1
1484|4|fr|Edgar, le détective cambrioleur
2750|2|en|Edo Never Sleeps
10370|1|x-jat|Edogawa Conan Shissou Jiken: Shijou Saiaku no Futsukakan
6523|1|x-jat|Edokko Boy: Gatten Tasuke
326|3|x-jat|edr
1133|4|fr|Éducation sentimentale
5274|3|x-jat|ef
6014|4|ja|ef - a tale of melodies.
6014|1|x-jat|Ef - a Tale of Melodies.
5274|1|x-jat|Ef - a Tale of Memories.
5274|4|ja|ef - a tale of memories.
6014|2|pl|ef - opowieść o melodiach
5274|2|pl|ef - opowieść o wspomnieniach
5274|2|lt|ef - prisiminimų pasaka
6014|2|uk|ef - розповідь про мелодії
5274|2|uk|ef - розповідь про спогади
6014|4|en|Ef: A Tale of Melodies
5274|4|en|Ef: A Tale of Memories
5274|3|x-jat|ef1
6014|3|x-jat|ef2
781|4|pt-BR|Efeito Cinderela
9415|4|ja|efficus この想いを君に...
9415|1|x-jat|Efficus: Kono Omoi o Kimi ni...
2183|3|x-jat|eg
107|3|en|EGA
1193|1|x-jat|Egao
12774|1|x-jat|Egao ni Dai Sekkin
7892|1|x-jat|Egao no Hana
5310|4|hu|Égenjárók
8983|1|x-jat|Egomama
2904|1|x-jat|Eguchi Hisashi no Kotobuki Gorou Show
3138|1|x-jat|Eguchi Hisashi no Nantoka Narudesho!
5081|4|hu|Egyszer volt... a világűr
5222|4|hu|Egyszer volt... az élet
9360|1|x-jat|Ehon Yose
2615|3|x-jat|Ehrgeiz
12932|1|x-jat|Eien
2862|1|x-jat|Eien no Aseria
2862|2|x-jat|Eien no Aseria - The Spirit of Eternity Sword
5943|2|x-jat|Eien no Filena
5943|1|x-jat|Eien no Filerna
4631|1|x-jat|Eien no Hou
3608|1|x-jat|Eiga Atashinchi
2978|1|x-jat|Eiga Beast Wars Second Chou Seimeitai Transformers Lio Convoy Kiki Ippatsu!
11354|1|x-jat|Eiga Chibi Maruko-chan: Italia kara Kita Shounen
13176|1|x-jat|Eiga Chuunibyou demo Koi ga Shitai! Take on Me
12478|1|x-jat|Eiga Crayon Shin-chan Shuurai! Uchuujin Shiriri
8115|1|x-jat|Eiga Crayon Shin-chan: Arashi o Yobu Ougon no Spy Daisakusen
4910|2|x-jat|Eiga Crayon Shin-chan: Arashi o Yobu Utau Ketsu dake Bakudan!
8780|1|x-jat|Eiga Crayon Shin-chan: Arashi o Yobu! Ora to Uchuu no Princess
4707|2|x-jat|Eiga Crayon Shin-chan: Arashi wo Yobu Jungle
9542|1|x-jat|Eiga Crayon Shin-chan: Bakauma! B-Kyuu Gourmet Survival Battle!!
4706|2|x-jat|Eiga Crayon Shin-chan: Bakuhatsu! Onsen Wakuwaku Daikessen
13520|1|x-jat|Eiga Crayon Shin-chan: Bakumori! Kung-Fu Boys - Ramen Tairan
11742|1|x-jat|Eiga Crayon Shin-chan: Bakusui! Yumemi World Dai Totsugeki
5858|1|x-jat|Eiga Crayon Shin-chan: Chou Arashi o Yobu Kinpoko no Yuusha
4705|1|x-jat|Eiga Crayon Shin-chan: Dengeki! Buta no Hizume Daisakusen
3107|1|x-jat|Eiga Crayon Shin-chan: Densetsu o Yobu Buriburi 3-punpokkiri Daishingeki
4627|1|x-jat|Eiga Crayon Shin-chan: Densetsu o Yobu Odore! Amigo!
10252|1|x-jat|Eiga Crayon Shin-chan: Gachinko! Gyakushuu no Robo Tou-chan
4703|1|x-jat|Eiga Crayon Shin-chan: Henderland no Daibouken
10843|1|x-jat|Eiga Crayon Shin-chan: Ora no Hikkoshi Monogatari - Saboten Dai Shuugeki
6550|1|x-jat|Eiga Crayon Shin-chan: Otakebe! Kasukabe Yasei Oukoku
4626|1|x-jat|Eiga Crayon Shin-chan: Unkokusai no Yabou
13405|1|x-jat|Eiga Daisuki Pompo-san
13405|2|x-jat|Eiga Daisuki Ponpo-san
7018|1|x-jat|Eiga de Toujou! Tamagotchi Doki Doki! Uchuu no Maigotchi!?
13102|1|x-jat|Eiga de Utaou! Mother Goose
9690|1|x-jat|Eiga DokiDoki! Precure: Mana Kekkon!!? Mirai ni Tsunagu Kibou no Dress
9316|1|x-jat|Eiga Doraemon: Nobita no Himitsu Dougu Museum
12275|1|x-jat|Eiga Doraemon: Nobita no Nankyoku Kachi Kochi Daibouken
6719|1|x-jat|Eiga Doraemon: Nobita no Ningyo Daikaisen
10737|1|x-jat|Eiga Doraemon: Nobita no Space Heroes
13228|1|x-jat|Eiga Doraemon: Nobita no Takarajima
8542|1|x-jat|Eiga Doraemon: Nobita to Kiseki no Shima - Animal Adventure
6382|1|x-jat|Eiga Doraemon: Nobita to Midori no Kyojin Den
9975|1|x-jat|Eiga Doraemon: Shin Nobita no Daimakyou - Peko to 5-nin no Tankentai
11353|1|x-jat|Eiga Doraemon: Shin Nobita no Nippon Tanjou
6383|1|x-jat|Eiga Doraemon: Shin Nobita no Uchuu Kaitakushi
7770|1|x-jat|Eiga Doraemon: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi
7769|1|x-jat|Eiga Dorami & Doraemons: Space Land Kiki Ippatsu!
13657|1|x-jat|Eiga Dragon Ball Super
6720|1|x-jat|Eiga Fresh Precure! Omocha no Kuni wa Himitsu ga Ippai!?
2764|1|x-jat|Eiga Futari wa Precure Max Heart
3566|1|x-jat|Eiga Futari wa Precure Max Heart 2: Yukizora no Tomodachi
4844|1|x-jat|Eiga Futari wa Precure Splash Star: Tick Tack Kiki Ippatsu!
11341|1|x-jat|Eiga Go! Princess Precure Go! Go!! Gouka 3-bondate!!!
9527|1|x-jat|Eiga Hana Kappa Hana-sake! Pakkaan Chou no Kuni no Daibouken
10721|1|x-jat|Eiga Happiness Charge Precure! Ningyou no Kuni no Ballerina
7620|1|x-jat|Eiga Heartcatch Precure! Hana no Miyako de Fashion Show... Desuka!?
11155|1|x-jat|Eiga High Speed!: Free! Starting Days
13926|1|x-jat|Eiga Hugtto! Precure x Futari wa Precure: All Stars Memories
8957|1|x-jat|Eiga Jewelpet Sweets Dance Princess
8280|1|x-jat|Eiga K-On!
9194|1|x-jat|Eiga Kaiketsu Zorori: Da-da-da-daibouken!
9970|1|x-jat|Eiga Kaiketsu Zorori: Mamoru ze! Kyouryuu no Tamago
11133|1|x-jat|Eiga Kaiketsu Zorori: Uchuu no Yuusha-tachi
12953|1|x-jat|Eiga Kaiketsu Zorori: ZZ no Himitsu
9037|1|x-jat|Eiga Kami-Usagi Rope: Tsuka, Natsuyasumi Rasuichitte Majissuka!?
12456|1|x-jat|Eiga Kamisama Minarai: Himitsu no Cocotama - Kiseki o Okose Teppuru to Dokidoki Cocotama Kai
13006|1|x-jat|Eiga Kirakira Precure A La Mode: Paris to! Omoide no Mille-Feuille!
10937|1|x-jat|Eiga Koe no Katachi
13310|1|x-jat|Eiga Kono Subarashii Sekai ni Shukufuku o!
12727|1|x-jat|Eiga Kuma no Gakkou: Patissier Jackie to Ohisama no Sweets
6431|1|x-jat|Eiga Layton-kyouju to Eien no Utahime
12269|1|x-jat|Eiga Mahou Tsukai Precure! Kiseki no Henshin! Cure Mofurun!
1791|1|x-jat|Eiga Motto! Ojamajo Doremi Kaeru Ishi no Himitsu
3640|1|x-jat|Eiga Nintama Rantarou
1764|1|x-jat|Eiga Ojamajo Doremi #
4650|1|x-jat|Eiga Ojarumaru: Yakusoku no Natsu Ojaru to Semira
12069|1|x-jat|Eiga Panpaka Pants: Bananan Oukoku no Hihou
13416|1|x-jat|Eiga Panpaka Pantsu Matsuri: Purin Ara, Domo
6433|1|x-jat|Eiga Precure All Stars DX: Minna Tomodachi - Kiseki no Zen`in Daishuugou!
7290|1|x-jat|Eiga Precure All Stars DX2: Kibou no Hikari - Rainbow Jewel o Mamore!
8074|1|x-jat|Eiga Precure All Stars DX3: Mirai ni Todoke! Sekai o Tsunagu Niji-iro no Hana
9535|1|x-jat|Eiga Precure All Stars New Stage 2: Kokoro no Tomodachi
10227|1|x-jat|Eiga Precure All Stars New Stage 3: Eien no Tomodachi
8817|1|x-jat|Eiga Precure All Stars New Stage: Mirai no Tomodachi
10941|1|x-jat|Eiga Precure All Stars: Haru no Carnival
11797|1|x-jat|Eiga Precure All Stars: Minna de Utau - Kiseki no Mahou!
12509|1|x-jat|Eiga Precure Dream Stars!
13688|1|x-jat|Eiga Precure Super Stars!
11729|1|x-jat|Eiga PriPara: Minna no Akogare - Let`s Go PriParis
13553|1|x-jat|Eiga Shimajirou: Mahou no Shima no Daibouken
8939|1|x-jat|Eiga Smile Precure! Ehon no Naka wa Minna Chiguhagu!
8489|1|x-jat|Eiga Suite Precure: Torimodose! Kokoro ga Tsunagu Kiseki no Melody
12515|1|x-jat|Eiga Tamagotchi Himitsu no Otodoke Daisakusen!
11181|1|x-jat|Eiga The Snack World
13606|1|x-jat|Eiga Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu
6453|1|x-jat|Eiga Yes! Precure 5 Go Go! Okashi no Kuni no Happy Birthday
5572|1|x-jat|Eiga Yes! Precure 5: Kagami no Kuni no Miracle Daibouken!
11288|1|x-jat|Eiga Youkai Watch: Enma Daiou to Itsutsu no Monogatari Da Nyan!
14158|1|x-jat|Eiga Youkai Watch: Forever Friends
12577|1|x-jat|Eiga Youkai Watch: Shadow Side - Oni Ou no Fukkatsu
11816|1|x-jat|Eiga Youkai Watch: Soratobu Kujira to Double Sekai no Daibouken Da Nyan!
10680|1|x-jat|Eiga Youkai Watch: Tanjou no Himitsu Da Nyan!
7017|1|x-jat|Eiga! Tamagotchi Uchuu Ichi Happy na Monogatari!?
1795|4|en|Eight Clouds Rising
1353|4|fr|Eight Man
1352|2|x-jat|Eight Man
1353|2|x-jat|Eight Man After
1352|4|en|Eighth Man
3311|2|x-jat|Eightron
7682|1|x-jat|Eigo de Asobo: Tanken Goblin Tou
887|4|en|Eiken
887|1|x-jat|Eiken: Eikenbu yori Ai o Komete
11064|1|x-jat|Eikoku Ikka, Nihon o Taberu
11760|1|x-jat|Eikoku Ikka, Shougatsu o Taberu
11064|2|x-jat|Eikoku Ikke, Nihon o Taberu
2695|1|x-jat|Eikoku Koi Monogatari Emma
4729|1|x-jat|Eikoku Koi Monogatari Emma: Molders Hen
6359|1|x-jat|Eikou e no Spur: Igaya Chiharu Monogatari
2777|1|x-jat|Eikyuu Kazoku
333|4|fi|Eilisen kuiskaus
8270|4|de|Ein Brief an Momo
1392|4|de|Ein Fall für Super Pig
5912|2|de|Ein Liebhaber für alle Fälle
5056|2|de|Ein Sommer mit Coo
1025|4|de|Ein Supertrio
1025|2|de|Ein Supertrio - Cat`s Eye
2290|4|de|Eine fröhliche Familie
652|4|de|Eine handvoll Mädchen
13796|1|x-jat|Eine Kleine
5331|1|x-jat|Eisai Kyoiku
13397|1|x-jat|Eiyuu Banka Koushi-den
8138|1|x-jat|Eiyuu Densetsu: Sora no Kiseki The Animation
5016|1|x-jat|Eiyuu Gaiden Mozaicka
231|2|tr|Ejder Topu
233|2|tr|Ejder Topu GT
1530|2|tr|Ejder Topu Z
886|2|tr|Ejderha Devri
13672|1|x-jat|Ekimemo!
4854|1|x-jat|Eko Eko Azarak
5080|2|x-jat|Ekusu makina
667|1|x-jat|El
667|4|en|EL
667|4|de|Él
979|2|es-LA|El Alquimista de Acero
979|2|es|El Alquimista de Acero
2820|2|es|El Ángel de la Maza Mortal Dokuro-chan
910|4|es|El angel de la oscuridad
604|4|es|El Arbol de Palme
3101|4|es|El As del Espacio
1818|4|es-LA|El Barón Rojo
521|4|es|El broche encantado
1218|4|es|El Castillo Ambulante
331|4|es|El Castillo en el Cielo
1218|2|es|El castillo errante de Howl
4966|3|x-jat|El Cazador
4966|4|en|El Cazador de la Bruja
4966|4|fr|El Cazador de la Bruja
4966|4|pl|El Cazador de la Bruja
4966|1|x-jat|El Cazador de la Bruja
4966|4|de|El Cazador de la Bruja
59|4|es|El cazavampiros
1302|4|es|El club de las pervertidas
2565|4|es|El club del amor tras las clases
1868|2|es|El Conde de Monte Cristo
8276|2|es|El declive de la humanidad
4776|2|es|El Demonio puede llorar
1629|4|es|El devorador de esposas
7014|4|es|El día que nací
1963|4|es|El doctor desvergonzado
4146|2|es|El Familiar de Cero
617|4|es|El Famoso Detective Holmes
1593|4|es|El Galáctico
2211|4|es|El gato con botas
1682|4|es|El Gladiador
264|4|ca|El gran suixi
264|2|es|El Gran Sushi
264|2|ca|El gran sushi
1903|2|es|El hada Chappy
5719|4|es|El hada del bosque
556|4|pt-BR|El Hazard
208|4|de|El Hazard
556|4|fr|El Hazard - Le monde alternatif
208|4|fr|El Hazard - Le monde magnifique
305|4|fr|El Hazard - Le monde magnifique 2
207|4|fr|El Hazard - Les mondes alternatifs
208|2|x-jat|El Hazard OVA 1
305|2|x-jat|El Hazard OVA 2
556|2|x-jat|El Hazard TV 1
207|2|x-jat|El Hazard TV 2
207|4|en|El Hazard: The Alternative World
208|2|de|El Hazard: The Magnificent World
2384|4|es|El Heroe Legendario
10959|4|es|El Himno del Corazón
318|2|es|El Huevo del Ángel
1809|2|es|El Ideon: La Invocación
1808|2|es|El Ideon: Un Contacto
1218|4|es-LA|El Increíble Castillo Vagabundo
9589|4|es|El Jardín de las Palabras
3671|4|es|El Jardín Secreto
1014|4|es|El juego de las esclavas
2237|2|es|El Justiciero
2245|4|es|El lago de los cisnes
784|2|es|El Lamento del Cordero
2032|4|es|El limpiador de cuerpos
2968|2|es|El loco mundo de Go Nagai
469|4|es|El lugar que nos prometimos
3669|4|es|El Mago de Oz
3669|4|es-LA|El Mago de Oz
6048|2|es|El Mayordomo Negro
1847|4|es|El mercenario del sexo
1919|2|es|El Misterio de la Flor Mágica
4260|4|es|El osito Misha
264|2|es|El Pequeño Chef
2296|4|es|El pequeño lord
2530|4|es|El pequeño Nemo
264|2|ca|El petit xef
725|2|es|El pirata espacial Capitan Harlock
727|2|es|El pirata espacial Capitán Harlock: el misterio de la Arcadia
933|4|es|El Planeta de las arenas Ardientes
2254|4|es|El portal del vicio
386|4|es|El Puño de la Estrella del Norte
1920|4|es|El Rey Arturo
264|4|es|El Rey del Sushi
7031|4|es|El Rey Espino
3472|3|es|El Saltador
1895|4|es|El Secreto de Akko-chan
1359|4|es|El sordido tren de medianoche
3081|4|es|El Super Libro
1981|4|es|El taxi del sexo
2251|4|es|El último reino
409|4|es-LA|El Universo de Tenchi
409|4|es|El Universo de Tenchi
1911|4|es|El Vengador
1292|4|es|El Verano de Andalucia
5056|4|es|El verano de Coo
112|4|es-LA|El Viaje de Chihiro
112|4|es|El Viaje de Chihiro
6634|4|es|El viaje encantado
200|4|es|El viento de Amnesia
9514|4|es|El Viento se Levanta
208|4|ja|EL-HAZARD The Magnificent World
305|4|ja|EL-HAZARD The Magnificent World 2
208|4|en|El-Hazard: The Magnificent World
208|1|x-jat|El-Hazard: The Magnificent World
208|4|it|El-Hazard: The Magnificent World
305|1|x-jat|El-Hazard: The Magnificent World 2
305|4|en|El-Hazard: The Magnificent World 2
556|4|en|El-Hazard: The Wanderers
556|4|ru|El-Hazard: Странники
2506|2|en|Elder Brother`s Wife
812|2|en|Elderly Person Z
332|4|sv|Eldflugornas Grav
11970|4|en|Eldlive
11970|4|ja|elDLIVE
11970|1|x-jat|Eldlive
11970|2|ja|ēlDLIVE
5235|2|ro|Ele sunt stăpânele mele nobile
9463|1|x-jat|Elec-king The Animation
9463|2|ja|elec.king the Animation
9463|2|x-jat|Elecking The Animation
5328|2|en|Electric Full Flower Garden
9598|2|en|Electric Man 337
12878|2|en|Electrical Telegraphy, Electric Bells and Telephones
6322|2|en|Electromagnetic Girlfriend
7903|2|en|Electromagnetic Wave Woman and Adolescent Man
13017|4|en|Elegant Yokai Apartment Life
6322|2|lt|Elektromagnetinė Mergaitė
6335|2|en|Element Hunters
2183|4|en|Elemental Gelade
2183|4|fr|Elemental Gerad
2725|2|en|Elemental God-Machine Cybaster
2792|4|en|Elementalors
2792|4|fr|Elementalors - The movie
2183|2|en|Elementar Gerad
6335|1|x-jat|Elementhunters
8525|2|en|Elemi, the telephone pole that fell in love
4944|4|en|Eleven Cats
4945|4|en|Eleven Cats and an Albatross
5009|2|x-jat|Elf 17
1167|2|x-jat|Elf ban Kakyuusei
1167|1|x-jat|Elf ban Kakyuusei: Anata Dake o Mitsumete...
4944|4|de|Elf hungrige Katzen
4945|2|de|Elf hungrige Katzen und ein Albatros
6557|1|x-jat|Elf no Futago Hime: Willan to Arsura
14115|1|x-jat|Elf no Oshiego to Sensei
851|1|x-jat|Elf no Wakaokusama
79|1|x-jat|Elf o Karu Mono-tachi
80|1|x-jat|Elf o Karu Mono-tachi II
7970|2|en|Elf Princess Nina
151|4|en|Elf Princess Rane
1544|2|tr|Elf Şarkısı
5009|1|x-jat|Elf Seventeen
79|2|x-jat|Elf wo Karu Mono-tachi
80|2|x-jat|Elf wo Karu Mono-tachi II
7970|1|x-jat|Elf-hime Nina
1626|2|x-jat|Elfeana
3131|4|de|Elfen der Stratosphäre
3448|4|en|Elfen Laid
1544|4|es|Elfen Lied
1544|1|x-jat|Elfen Lied
1544|4|de|Elfen Lied
1544|4|en|Elfen Lied
1544|4|fr|Elfen Lied
1544|2|en|Elfen Song
1544|4|sk|Elfia pieseň
1544|2|pl|Elfia pieśń
1544|2|en|Elfic Song
4746|2|en|Elfie - The Legend of Coral Island
4746|4|pt|Elfie: A Salvadora do Planeta
1626|4|es|Elfina - La princesa esclava
1626|1|x-jat|Elfina: Yoru e to Urareta Oukoku de... The Animation
208|3|x-jat|elhaz
556|3|x-jat|elhaz tv
207|3|x-jat|elhaz tv2
305|3|x-jat|elhaz2
1340|4|it|Eliseo
10722|1|x-jat|Elite Jack!!
8023|1|x-jat|Elite!!
1340|2|lt|Eliziumas
2331|4|fr|Ellcia
2331|4|en|Ellcia
667|2|en|Elle
11874|4|fr|Elle et son chat
4272|4|fr|Elmer et le Dragon
4272|1|x-jat|Elmer no Bouken: My Father`s Dragon
4272|4|de|Elmer und der kleine Drache
4272|4|en|Elmer`s Adventure
26|4|ca|Els Dotze Regnes
12663|2|en|Elsword: El Lady
12663|1|x-kot|Elsword: El-ui Yeoin
12663|4|tr|Elsword: El`in Leydisi
1626|3|x-jat|Elufina
1626|2|en|Elufina - Servant Princess
3664|4|et|Elukevade
851|3|en|elven bride
1544|2|en|elven song
3165|2|en|Elves of the Forest
1340|1|x-jat|Elysium
1340|4|de|Elysium
1340|4|pl|Elysium
1340|4|fr|Elysium
11562|1|x-jat|Embah
11562|4|ja|embah
4234|1|x-jat|Emblem Take 2
4234|2|x-jat|Emblem Take Two
2600|4|en|Embracing Love
4828|4|en|Embracing Love - A Cicada in Winter
1836|4|fr|Embrasse-moi, Lucile
4417|4|en|Emergency Departure Rescue Kids
1444|4|fr|Émi Magique
4304|2|x-jat|Emi to Yobanaide
4895|2|en|Emily Of New Moon
13705|1|x-jat|Emiya-san Chi no Kyou no Gohan
262|4|hu|Emlékek
2695|3|x-jat|Emma
2695|4|de|Emma - Eine viktorianische Liebe
2695|4|it|Emma - Una storia romantica
2695|3|x-jat|emma 1
4729|3|x-jat|emma 2
2695|4|en|Emma: A Victorian Romance
4729|4|en|Emma: A Victorian Romance Season 2
2695|3|x-jat|emma1
4729|3|x-jat|emma2
8047|2|en|Empress Chung
6182|2|en|Empty Can
6968|2|tr|En Arka Sıradaki Şeytan Kral
4054|4|es-LA|En Busca de la Ciudad Tesoro
3085|4|es|En busca del Condor Dorado
5222|4|sv|En cell-sam historia
9376|4|es|En este rincón del mundo
9591|4|fr|En selle, Sakamichi !
5141|1|x-jat|En`yoku
2862|3|x-jat|EnA
10559|1|x-jat|Enbi
1256|1|x-jat|Enbo
2037|4|en|Enclosed World
9257|4|en|Encouragement of Climb
2401|2|en|End of Century - Darling
202|3|x-jat|End of Eva
202|2|x-jat|End of Evangelion
8734|4|en|End of Summer
1159|4|en|End of Summer (2)
2566|2|en|End of Summer 2
2394|1|x-jat|End of the World
2394|4|ja|End of the world
2401|2|en|End-of-the-Century Darling
1048|1|x-jat|Endless Serenade
1048|4|en|Endless Serenade
11902|4|en|Endride
11902|1|x-jat|Endride
11350|2|en|Endstory
11967|1|x-jat|Energy Kyouka!!
1540|2|fr|Enfer & Paradis
2784|2|fr|Enfer & Paradis - OAV
1540|4|fr|Enfer et paradis
2784|4|fr|Enfer et paradis - OAV
10110|4|en|Engaged to the Unidentified
4347|4|de|Engel der Sterne Primaver
6564|2|lv|Eņģeļa Pulss
13212|1|x-jat|Engimon
2695|2|en|English Love Story Emma
5132|3|x-jat|enj
7249|3|en|EnJ Movie
1994|4|es|Enjauladas X
5152|1|x-jat|Enkinhou no Hako: Hakase no Sagashimono
13730|1|x-jat|Enkou JK Bitch Gyaru: Oji-san to Nama Pako Seikatsu
12157|1|x-jat|Enkou Shoujo: Rikujoubu Yukki no Baai The Animation
13198|1|x-jat|Enmusubi no Youko-chan
13277|1|x-jat|Enoshimans
11810|1|x-jat|Ensemble Stars!
6472|1|x-jat|Enshou Nihon Mukashibanashi
4801|4|en|Enspelled
1920|1|x-jat|Entaku no Kishi Monogatari: Moero Arthur
13175|1|x-jat|Entotsu Machi no Poupelle
6933|1|x-jat|Entotsuya Peroo
199|4|fr|Entre elle et lui
5141|2|x-jat|Enyoku
2639|1|x-jat|Enzai
624|3|x-jat|EO
202|3|x-jat|EoE
4396|2|tr|Eon Şövalyesi
6763|3|x-jat|EotE AC
6763|3|x-jat|EotE: Air Communication
3302|3|x-jat|EP
8976|2|fr|Épisode 0 - Un présage
1688|2|en|Equation of the Immoral
438|4|pt|Equipa de Choque
2690|4|fr|Équipières de choc
438|4|fr|Équipières de choc (1996)
1902|4|es|Equipo de beisbol Apache
5081|4|nl|Er was eens... De Ruimte
5081|2|nl|Er was eens... Het Heelal
5222|4|nl|Er was eens... Het Leven
12824|2|en|Era of LoL
5222|4|pt|Era uma vez...O Corpo Humano
5081|4|pt|Era uma vez...O Espaço
3158|4|fi|Erämaan kutsu
11292|4|en|Erased
11292|4|fr|Erased
11292|2|it|Erased - La città in cui io non ci sono
2078|4|hu|Erdei állatok országa
315|2|lt|Erdvėlaivis Agga Ruter
750|4|it|Eredi del buio
2183|4|pl|Erementar Gerad
2183|1|x-jat|Erementar Gerad
8347|4|ja|EREMENTAR GERAD-蒼空の戦旗-
8347|1|x-jat|Erementar Gerad: Ao no Senki
8347|2|en|Erementar Gerad: Flag of BlueSky
3302|3|x-jat|ergo
3302|2|lt|Ergo Proksi
3302|4|en|Ergo Proxy
3302|4|fr|Ergo Proxy
3302|4|pl|Ergo Proxy
3302|4|pt|Ergo Proxy
3302|4|cs|Ergo Proxy
3302|1|x-jat|Ergo Proxy
3302|4|sv|Ergo Proxy
3302|4|it|Ergo Proxy
3302|4|fi|Ergo Proxy
3302|4|de|Ergo Proxy
3302|2|ja|Ergoproxy
4355|1|x-jat|Erico
4355|4|ja|erico
2558|4|fr|Erika
8798|3|x-jat|erikishi
2558|4|es|Eriko
6187|3|x-jat|Erin
6187|2|pl|Erin: piastunka Bestii
10313|4|de|Erinnerungen an Marnie
7384|2|lt|Ernis
11686|1|x-jat|Ero Manga! H mo Manga mo Step-up
12699|1|x-jat|Ero Zemi: Ecchi ni Yaru-ki ni ABC - The Animation
8473|1|x-jat|Eroge! H mo Game mo Kaihatsu Zanmai
8473|2|pl|Eroge! Oddanie się rozwijaniu erotyki i gier!
1333|3|x-jat|erolutions
10872|1|x-jat|Eromame
5951|1|x-jat|Eromanga Mitai na Koi Shiyou: Let`s Fall in Love The Ero-manga
11981|4|fr|EroManga Sensei
11981|4|en|Eromanga Sensei
11981|1|x-jat|Eromanga-sensei
13580|1|x-jat|Eromanga-sensei (2018)
1256|2|en|Erotic Heart Mother
9312|2|en|Erotic JK and the Public Representative
664|4|en|Erotic Torture Chamber
1861|4|de|Erzählung einer weißen Schlange
3587|4|de|Es war einmal
5081|4|de|Es war einmal ... der Weltraum
5222|4|de|Es war einmal... Das Leben
2441|3|x-jat|es21
321|1|x-jat|Escaflowne
184|2|en|Escaflowne
184|2|de|Escaflowne
184|3|es|Escaflowne
321|4|de|Escaflowne - The Movie
321|4|fr|Escaflowne - Une fille sur Gaia
184|3|x-jat|escaflowne tv
321|2|en|Escaflowne: A Girl in Gaea
321|2|es|Escaflowne: la película
321|4|pt|Escaflowne: O Filme
321|4|en|Escaflowne: The Movie
10241|1|x-jat|Escha & Logy no Atelier: Tasogare no Sora no Renkinjutsushi
12460|1|x-jat|Escha Chron
10241|3|en|eschatology
650|4|es|Esclava sexual (Slave Doll)
140|4|es|Escuela de Brujas
1137|4|es|Escuela de Cenicientas
1283|4|es|Escuela de Masoquistas
2601|4|es|Escuela de perversión
2566|4|es|Escuela de verano 2
231|2|es|Esferas del Dragón
4401|4|et|Esimene rühm
1449|4|pl|Eskadra Orła
321|2|lt|Eskaflonė: Mergina iš Gajos
4020|1|x-jat|Esper Bishoujo Manami
2684|1|x-jat|Esper Mami
6273|1|x-jat|Esper Mami: Hoshizora no Dancing Doll
129|4|es-LA|Espíritu de Lucha
3513|4|pt|Esquadrão Águia
1449|4|pt|Esquadrão Águia (1)
1450|4|pt|Esquadrão Águia (2)
1480|4|pt-BR|Esquadrão Gorila
3612|2|en|Essays on Insects
905|4|gl|Estala o duelo
438|4|es-LA|Están Arrestados!
438|4|es|Estás arrestado
1431|2|es|Este feo y aún hermoso mundo
1006|4|tr|Esteban
1006|2|en|Esteban and the Seven Cities of Gold
1006|2|en|Esteban: The Child of the Sun
4777|2|pt|Estrela da Sorte
5516|4|fr|Et voici la petite Lulu
3985|4|fr|Eternal Alice
3985|2|en|Eternal Alice
2777|4|en|Eternal Family
5943|2|en|Eternal Filena
3398|2|x-jat|Eto Ranger
3398|2|x-jat|Eto Rangers
2342|2|fr|Étoile de la Seine
10904|4|en|Etotama
10904|4|fr|Etotama
10904|1|x-jat|Etotama: Eto Tamashii
12241|1|x-jat|Etotama: Eto Tamashii 2
11085|1|x-jat|Etsuraku no Tane
8603|2|x-jat|Etty no Monogatari
335|2|pt-BR|Eu Posso Ouvir o Mar
2738|4|fi|Eukko Pikkurilli
11140|1|x-kot|Eun-sil-i
9611|1|x-kot|Eunhahamdae Jiguho
9634|1|x-kot|Eunhajeonseol Tera
10889|3|x-jat|Eupho
11747|3|en|eupho movie
12962|3|en|eupho movie 2
10889|3|x-jat|Euphonium
11747|3|en|euphonium movie
12962|3|en|euphonium movie 2
8508|1|x-jat|Euphoria
8508|4|ja|euphoria
2826|3|x-jat|Eureka
2826|2|x-jat|Eureka 7
8854|2|x-jat|Eureka 7 Ao
2826|4|it|Eureka Seven
